day_of_year,tmk_normal
112,8.548502304147464
113,8.688018433179723
114,8.835714285714285
115,9.024769585253456
116,9.212557603686635
117,9.392396313364054
118,9.55253456221198
119,9.702880184331796
120,9.846082949308755
121,9.994124423963132
122,10.116589861751152
123,10.246198156682025
124,10.395391705069123
125,10.544700460829493
126,10.711175115207373
127,10.863824884792626
128,10.99815668202765
129,11.115638334186722
130,11.210569209762758
131,11.311606076122205
132,11.415868748933267
133,11.520937873357228
134,11.619670592251236
135,11.722435569209763
136,11.855154463218978
137,11.972089947089948
138,12.107689025430961
139,12.249163679808841
140,12.406076122205153
141,12.544785799624508
142,12.696859532343403
143,12.848587642942483
144,12.980730500085338
145,13.110684417136031
146,13.193403311145246
147,13.290062297320365
148,13.390868748933265
149,13.484993172896399
150,13.588449394094555
151,13.695822665983956
152,13.783725891790409
153,13.872435569209763
154,13.970246629117597
155,14.06609916367981
156,14.1599931728964
157,14.25089179040792
158,14.319440177504694
159,14.36920976275815
160,14.428225806451612
161,14.49516129032258
162,14.575000000000001
163,14.649539170506912
164,14.723847926267283
165,14.802534562211983
166,14.890437788018435
167,14.944009216589862
168,15.002880184331797
169,15.080184331797234
170,15.155760368663595
171,15.2213133640553
172,15.295506912442399
173,15.339170506912444
174,15.380069124423965
175,15.431221198156683
176,15.47188940092166
177,15.530875576036866
178,15.580299539170506
179,15.630529953917051
180,15.698963133640554
181,15.769815668202765
182,15.847235023041476
183,15.949078341013825
184,16.03767281105991
185,16.117857142857144
186,16.19020737327189
187,16.272119815668205
188,16.34769585253456
189,16.44205069124424
190,16.546543778801844
191,16.64573732718894
192,16.742972350230414
193,16.826497695852535
194,16.921082949308758
195,17.009447004608294
196,17.08986175115207
197,17.157603686635948
198,17.225806451612907
199,17.306451612903224
200,17.36831797235023
201,17.40253456221198
202,17.43398617511521
203,17.48997695852535
204,17.562327188940092
205,17.623732718894008
206,17.672350230414747
207,17.71647892131763
208,17.754958183990443
209,17.7702807646356
210,17.782492746202426
211,17.792515787677075
212,17.80783836832224
213,17.836640211640212
214,17.847354497354495
215,17.858529612561867
216,17.86647892131763
217,17.87984297661717
218,17.87938214712408
219,17.8665941286909
220,17.850810718552655
221,17.819013483529613
222,17.788598736985833
223,17.753690902884454
224,17.71348352961256
225,17.634566478921318
226,17.559336064174776
227,17.46958952039597
228,17.379266939750806
229,17.29827615634067
230,17.205188598736985
231,17.106340672469706
232,17.010948967400584
233,16.923506571087213
234,16.817400580303804
235,16.72270011947431
236,16.63836832223929
237,16.553114866018092
238,16.460483870967742
239,16.37315668202765
240,16.301382488479263
241,16.226382488479263
242,16.15253456221198
243,16.06094470046083
244,15.940552995391705
245,15.812672811059906
246,15.6926267281106
247,15.551267281105991
248,15.398041474654379
249,15.255069124423963
250,15.131912442396313
251,15.004953917050692
252,14.885944700460831
253,14.766820276497695
254,14.64147465437788
255,14.523847926267281
256,14.427534562211981
257,14.326612903225806
258,14.23041474654378
259,14.13294930875576
260,14.013479262672812
261,13.899193548387096
262,13.79078341013825
263,13.679377880184333
264,13.560023041474656
265,13.438709677419354
266,13.29827188940092
267,13.15910138248848
268,13.016385048643112
269,12.878908516811743
270,12.740544461512204
271,12.601604369346306
272,12.459438470728793
273,12.320152756443079
274,12.17752602833248
275,12.03616658132787
276,11.90506059054446
277,11.765314046765658
278,11.642618194231098
279,11.510244922341696
280,11.38489930022188
281,11.264968424645845
282,11.14653524492234
283,11.013009899300222
284,10.896880867042158
285,10.779714968424644
286,10.644282300733913
287,10.51720856801502
288,10.373199351425159
289,10.231379074927462
290,10.112024236217785
291,10.01306110257723
292,9.911563406724698
293,9.786034306195596
294,9.649586106844172
295,9.508384536610341
296,9.393454514422258
297,9.2686849291688
298,9.127095067417647
299,8.983866700802183
300,8.85037549069807
301,8.707633555214201
302,8.569615122034476
303,8.421804062126641
304,8.297725721112819
305,8.207633555214201
306,8.098301757979177
307,7.963278716504523
308,7.849684246458441
309,7.706827103601297
310,7.564545997610513
311,7.393002218808671
312,7.224223416965352
313,7.06615890083632
314,6.914776412357058
315,6.741043693463048
316,6.592195767195768
317,6.449402628434886
318,6.297559310462536
319,6.162997098480969
320,6.024978665301245
321,5.860923365762075
322,5.690416453319679
323,5.522444103089264
324,5.394171360300393
325,5.303084997439836
326,5.222166752005461
327,5.099193548387097
328,4.9949308755760375
329,4.896543778801844
330,4.799539170506912
331,4.7088709677419365
332,4.607834101382488
333,4.504608294930876
334,4.40241935483871
335,4.28721198156682
336,4.145506912442396
337,4.033064516129032
338,3.9637096774193554
339,3.8774193548387097
340,3.8028801843317974
341,3.7296082949308755
342,3.6670506912442398
343,3.622119815668203
344,3.5721198156682026
345,3.522926267281106
346,3.4683179723502304
347,3.3985023041474656
348,3.327304147465438
349,3.2557603686635948
350,3.199884792626728
351,3.150691244239631
352,3.1165087898958865
353,3.0734767025089607
354,3.008802696705923
355,2.9322964669738862
356,2.8338965693804408
357,2.7408602150537638
358,2.694299368492917
359,2.6515745007680493
360,2.6169994879672305
361,2.587220515446322
362,2.55462962962963
363,2.5482974910394263
364,2.53568441713603
365,2.537540535927633
366,2.5284988905956647
